,id,ds_skill,motivation,pm_skill,weighted,gender,nationality,department,study_level,OECD,Impact Initiatives,WWF,BASE,IFPRI,CSS,HRW,data_science_skilled,project_management_skilled,is_male,assigned_project
0,1,0.428865860684205,1.43628159263709,-0.287849270077516,0.650937650490301,Female,Indian,Mechanical and Process Engineering,Master,4,2,5,1,3,2,1,0,0,0,BASE
1,2,-0.148922569664414,-0.103612952834284,-0.150488706128827,-0.13185721006769,Male,Austria,Computer Science,Bachelor,2,1,3,2,5,4,6,0,0,1,Impact Initiatives
2,3,-0.278966985811829,-1.05933389802691,-0.287849270077516,-0.581157863802017,Male,Canada,Physics,Master,6,6,4,5,3,1,2,0,0,1,CSS
3,4,-1.19216561278542,-0.103612952834284,0.91018147544853,-0.288334492442532,Male,Switzerland,Health Science and Thecnology,Master,4,3,4,1,1,3,4,0,1,1,BASE
4,5,1.95107946029398,1.43628159263709,1.63685314136205,1.68056651451857,Male,Italian,Computer Science,Master,6,6,6,1,1,1,1,1,1,1,BASE
5,6,-0.819742962914351,-0.103612952834284,-0.150488706128827,-0.389865053625358,Female,China,Mathematics,Master,6,3,4,1,5,2,5,0,0,0,BASE
6,9,0.0934556640592365,1.12005382662025,-0.287849270077516,0.400307664858837,Male,Switzerland,Computer Science,Master,2,4,4,4,1,2,1,0,0,1,IFPRI
7,11,1.01310480355259,1.31720117932955,0.891315536744663,1.10195973266498,Female,Switzerland,Computer Science,Master,4,5,6,5,1,2,1,1,1,0,IFPRI
8,12,0.696310828011599,0.423951061567593,-0.415886150010412,0.334896230604979,Male,German,Mathematics,Master,6,6,6,1,1,1,1,1,0,1,BASE
9,13,0.696310828011599,-0.238300172483137,-0.415886150010412,0.0801842175085442,Male,Indian,Information Technology and Electrical Engineering,Master,3,4,6,6,1,1,1,1,0,1,Impact Initiatives
10,14,0.696310828011599,-0.495533667966404,0.293810097057815,0.145024314723032,Male,Switzerland,"CS, ITET, MATH",Master,4,5,6,5,1,2,1,1,1,1,IFPRI
11,15,1.06873347788266,1.31720117932955,1.39921491992945,1.2405629266038,Male,Italian,Computer Science,PhD,3,4,4,4,2,2,1,1,1,1,HRW
12,16,0.696310828011599,-0.20349640151189,0.0920132331743786,0.210777833232437,Male,Austria,Physics,PhD,3,4,4,4,2,2,1,1,0,1,HRW
13,17,-0.40009617395733,0.689753716250067,0.0920132331743786,0.132640570075909,Male,Switzerland,Environmental Systems Science,Master,4,1,4,2,3,4,4,0,0,1,Impact Initiatives
14,18,-0.40009617395733,-1.13155029024509,-0.415886150010412,-0.685068520849489,prefer not to say,Netherlands,Computer Science,Master,1,1,1,3,3,2,4,0,0,0,OECD
15,19,1.42029518010946,1.02516391287504,1.3096088634274,1.24277861963113,Male,Indian,Computer Science,Master,2,6,4,3,5,1,4,1,1,1,CSS
16,20,-1.12408052605519,-0.246869331682343,0.293810097057815,-0.459486076731864,Female,China,Mechanical and Process Engineering,Master,6,1,5,2,5,5,1,0,1,0,Impact Initiatives
17,21,-0.40009617395733,1.31720117932955,0.689518672861226,0.511852388111137,Male,Dutch,Computer Science,Master,3,6,3,6,3,1,2,0,1,1,CSS
18,23,0.471247173574435,-0.163085424381553,-0.384074314942453,0.0298912154720806,Male,German,Chemistry and Applied Biosciences,Master,6,6,1,1,1,1,1,0,0,1,WWF
19,24,0.56955220819092,0.609114688216863,-0.287849270077516,0.386906667062028,Prefer not to say,Slovak,Computer Science,Master,2,5,5,2,4,3,1,0,0,0,HRW
20,25,0.532157857036703,0.172324772243415,0.123825068242337,0.299529873163662,Male,"French, Lebanese",Computer Science,Master,2,2,2,2,1,1,1,0,1,1,WWF
21,26,-0.308365852853499,-0.163085424381553,-0.384074314942453,-0.269959948538663,Male,French,Environmental Systems Science,I own a MSc and working at ETH,6,5,3,4,2,5,1,0,0,1,HRW
22,28,0.639375950114368,0.717153274801925,-0.233585608813627,0.467837638318506,Female,Francaise,"Management, Technology and Economics",PhD,1,4,2,4,6,5,3,1,0,0,OECD
23,29,-0.164346649554776,-0.662564792849043,-0.233585608813627,-0.371947233727691,Male,German,Mathematics,Master,5,3,5,6,1,1,2,0,0,1,IFPRI
24,30,1.04656632667124,0.717153274801925,2.27980701989136,1.20446300515691,Male,German,Computer Science,Master,1,5,5,3,2,1,1,1,1,1,OECD
25,32,1.04656632667124,0.425116008347411,-0.233585608813627,0.512127296050181,Male,Indian,Physics,PhD,2,2,1,1,1,1,1,1,0,1,WWF
26,34,-0.039621413269353,0.300119587715793,0.235882950940325,0.154626132696398,Male,German,Mathematics,Master,3,6,6,3,2,1,1,0,1,1,CSS
27,35,0.076917944522986,-0.387495081381342,-0.361622488746523,-0.202904088502411,Male,India,Mathematics,Master,6,5,4,2,3,1,1,0,0,1,CSS
